,Date,Ticker,MarketCap,P/E Ratio,DividendYield,Revenue Growth
0,2025-09-27,AAPL,3846888226816,33.088497,0.38,0.157
1,2025-06-30,MSFT,2986626777088,25.162178,0.9,0.167
2,2025-12-31,GOOGL,3737973161984,28.558226,0.27,0.18
3,2025-12-31,AMZN,2142690213888,27.877096,0.0,0.136
4,2025-12-31,META,1643730436096,27.686834,0.31,0.238
5,2025-01-26,NVDA,4551428538368,46.158024,0.02,0.625
6,2025-12-31,TSLA,1565026811904,389.78503,0.0,-0.031
