Date,SPY
2016-01-04,170.37216186523438
2016-01-05,170.6603546142578
2016-01-06,168.50755310058594
2016-01-07,164.46481323242188
2016-01-08,162.65956115722656
2016-01-11,162.82061767578125
2016-01-12,164.13429260253906
2016-01-13,160.0406951904297
2016-01-14,162.6680145263672
2016-01-15,159.1761474609375
2016-01-19,159.3880615234375
2016-01-20,157.3455047607422
2016-01-21,158.2268829345703
2016-01-22,161.47299194335938
2016-01-25,159.03207397460938
2016-01-26,161.2018280029297
2016-01-27,159.44741821289062
2016-01-28,160.27796936035156
2016-01-29,164.18519592285156
2016-02-01,164.12582397460938
2016-02-02,161.16790771484375
2016-02-03,162.1341094970703
2016-02-04,162.38833618164062
2016-02-05,159.2948760986328
2016-02-08,157.15054321289062
2016-02-09,157.1590576171875
2016-02-10,157.02342224121094
2016-02-11,154.9808807373047
2016-02-12,158.1760711669922
2016-02-16,160.84584045410156
2016-02-17,163.47323608398438
2016-02-18,162.8036346435547
2016-02-19,162.72735595703125
2016-02-22,165.08352661132812
2016-02-23,162.99855041503906
2016-02-24,163.74441528320312
2016-02-25,165.72769165039062
2016-02-26,165.34629821777344
2016-02-29,164.04953002929688
2016-03-01,167.9058074951172
2016-03-02,168.66014099121094
2016-03-03,169.3211669921875
2016-03-04,169.87213134765625
2016-03-07,170.00772094726562
2016-03-08,168.15162658691406
2016-03-09,168.9822235107422
2016-03-10,169.11781311035156
2016-03-11,171.8468780517578
2016-03-14,171.6265411376953
2016-03-15,171.34678649902344
2016-03-16,172.33847045898438
2016-03-17,173.4317626953125
2016-03-18,174.11329650878906
2016-03-21,174.36038208007812
2016-03-22,174.26661682128906
2016-03-23,173.1165771484375
2016-03-24,173.03988647460938
2016-03-28,173.1421661376953
2016-03-29,174.7436981201172
2016-03-30,175.51043701171875
2016-03-31,175.08448791503906
2016-04-01,176.27716064453125
2016-04-04,175.7063751220703
2016-04-05,173.9514617919922
2016-04-06,175.85118103027344
2016-04-07,173.74696350097656
2016-04-08,174.215576171875
2016-04-11,173.806640625
2016-04-12,175.42523193359375
2016-04-13,177.19720458984375
2016-04-14,177.2057342529297
2016-04-15,177.009765625
2016-04-18,178.2535858154297
2016-04-19,178.81588745117188
2016-04-20,178.98629760742188
2016-04-21,178.02354431152344
2016-04-22,178.02354431152344
2016-04-25,177.7168731689453
2016-04-26,177.98097229003906
2016-04-27,178.34730529785156
2016-04-28,176.72865295410156
2016-04-29,175.77456665039062
2016-05-02,177.171630859375
2016-05-03,175.6296844482422
2016-05-04,174.6500244140625
2016-05-05,174.61590576171875
2016-05-06,175.25489807128906
2016-05-09,175.39967346191406
2016-05-10,177.5806427001953
2016-05-11,175.91937255859375
2016-05-12,175.9705047607422
2016-05-13,174.4370574951172
2016-05-16,176.15786743164062
2016-05-17,174.51368713378906
2016-05-18,174.56480407714844
2016-05-19,173.9600067138672
2016-05-20,175.05889892578125
2016-05-23,174.82040405273438
2016-05-24,177.08644104003906
2016-05-25,178.2876434326172
2016-05-26,178.33880615234375
2016-05-27,179.10552978515625
2016-05-31,178.7647247314453
2016-06-01,179.1310577392578
2016-06-02,179.67628479003906
2016-06-03,179.13955688476562
2016-06-06,180.05113220214844
2016-06-07,180.33230590820312
2016-06-08,180.92007446289062
2016-06-09,180.67300415039062
2016-06-10,178.96067810058594
2016-06-13,177.5806427001953
2016-06-14,177.2312774658203
2016-06-15,176.9842987060547
2016-06-16,177.51242065429688
2016-06-17,176.85134887695312
2016-06-20,177.99024963378906
2016-06-21,178.4954833984375
2016-06-22,178.204345703125
2016-06-23,180.5250701904297
2016-06-24,174.04249572753906
2016-06-27,170.9254913330078
2016-06-28,174.00827026367188
2016-06-29,176.97125244140625
2016-06-30,179.38609313964844
2016-07-01,179.7628936767578
2016-07-05,178.4698028564453
2016-07-06,179.5402374267578
2016-07-07,179.42893981933594
2016-07-08,182.10067749023438
2016-07-11,182.742919921875
2016-07-12,184.0702667236328
2016-07-13,184.0446014404297
2016-07-14,185.0721893310547
2016-07-15,184.82383728027344
2016-07-18,185.32054138183594
2016-07-19,185.1321563720703
2016-07-20,185.90286254882812
2016-07-21,185.20065307617188
2016-07-22,186.03128051757812
2016-07-25,185.52606201171875
2016-07-26,185.6116943359375
2016-07-27,185.41473388671875
2016-07-28,185.62879943847656
2016-07-29,185.9285430908203
2016-08-01,185.7743682861328
2016-08-02,184.5840606689453
2016-08-03,185.12356567382812
2016-08-04,185.32054138183594
2016-08-05,186.8362579345703
2016-08-08,186.72496032714844
2016-08-09,186.8362579345703
2016-08-10,186.37384033203125
2016-08-11,187.23873901367188
2016-08-12,187.07608032226562
2016-08-15,187.61549377441406
2016-08-16,186.64788818359375
2016-08-17,186.9989776611328
2016-08-18,187.4185791015625
2016-08-19,187.14456176757812
2016-08-22,187.13601684570312
2016-08-23,187.51278686523438
2016-08-24,186.5536651611328
2016-08-25,186.42523193359375
2016-08-26,186.07411193847656
2016-08-29,186.99041748046875
2016-08-30,186.68211364746094
2016-08-31,186.15115356445312
2016-09-01,186.1597442626953
2016-09-02,186.9989776611328
2016-09-06,187.56414794921875
2016-09-07,187.54701232910156
2016-09-08,187.11886596679688
2016-09-09,182.64015197753906
2016-09-12,185.2605743408203
2016-09-13,182.59738159179688
2016-09-14,182.52886962890625
2016-09-15,184.35284423828125
2016-09-16,183.6402130126953
2016-09-19,183.6746826171875
2016-09-20,183.68325805664062
2016-09-21,185.74887084960938
2016-09-22,186.91940307617188
2016-09-23,185.89511108398438
2016-09-26,184.38902282714844
2016-09-27,185.53370666503906
