AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
242.52516174316406,220.22000122070312,188.6909942626953,597.3563842773438,415.51483154296875,138.27218627929688,379.2799987792969
242.03782653808594,224.19000244140625,191.0417938232422,602.7293701171875,420.2499084472656,144.4304962158203,410.44000244140625
243.6688995361328,227.61000061035156,196.10198974609375,628.218994140625,424.7169494628906,149.38912963867188,411.04998779296875
240.89407348632812,222.11000061035156,194.7273712158203,615.9476928710938,419.2770690917969,140.10166931152344,394.3599853515625
241.38140869140625,222.1300048828125,193.19337463378906,608.8002319335938,421.4510803222656,140.07168579101562,394.94000244140625
235.5631866455078,218.94000244140625,191.2908172607422,613.924072265625,415.8821105957031,135.8728485107422,394.739990234375
233.12649536132812,218.4600067138672,190.26483154296875,606.4177856445312,414.135009765625,133.19357299804688,403.30999755859375
232.01258850097656,217.75999450683594,188.9200897216797,592.3820190429688,412.62615966796875,131.7239532470703,396.3599853515625
236.57763671875,223.35000610351562,194.78712463378906,615.1801147460938,423.188232421875,136.2027587890625,428.2200012207031
227.0198516845703,220.66000366210938,192.1574249267578,609.37841796875,421.4708557128906,133.53347778320312,413.82000732421875
228.73052978515625,225.94000244140625,195.2353515625,610.84375,425.8883361816406,137.67234802246094,426.5
221.43038940429688,230.7100067138672,197.2773895263672,614.522216796875,425.3621826171875,140.79148864746094,424.07000732421875
222.61392211914062,235.00999450683594,197.59613037109375,621.5401000976562,442.9326171875,147.02980041503906,415.1099853515625
222.44483947753906,235.4199981689453,197.20765686035156,634.4494018554688,443.4388122558594,147.17974853515625,412.3800048828125
221.5696258544922,234.85000610351562,199.42893981933594,645.4546508789062,440.8082275390625,142.5810089111328,406.5799865722656
228.6111602783203,235.4199981689453,191.06170654296875,657.8056640625,431.3778076171875,118.38761901855469,397.1499938964844
236.9655303955078,238.14999389648438,194.53810119628906,672.2103271484375,443.9252624511719,128.95472717285156,398.0899963378906
238.05955505371094,237.07000732421875,194.64767456054688,674.363525390625,439.0909118652344,123.66616821289062,389.1000061035156
236.29916381835938,234.63999938964844,200.08636474609375,684.8405151367188,411.95111083984375,124.61592102050781,400.2799987792969
234.71780395507812,237.67999267578125,203.22409057617188,687.0136108398438,412.0206298828125,120.03717041015625,404.6000061035156
226.77120971679688,237.4199981689453,200.44496154785156,695.267578125,407.91094970703125,116.62810516357422,383.67999267578125
231.5352020263672,242.05999755859375,205.57489013671875,701.9765014648438,409.3503112792969,118.6175537109375,392.2099914550781
231.2069854736328,236.1699981689453,190.58360290527344,702.6543579101562,410.26361083984375,124.79586029052734,378.1700134277344
231.9529266357422,238.8300018310547,190.8525390625,709.751953125,412.7750549316406,128.64480590820312,374.32000732421875
226.39328002929688,229.14999389648438,184.61695861816406,712.2739868164062,406.7494812011719,129.8044891357422,361.6199951171875
226.662109375,233.13999938964844,185.7425537109375,715.1449584960938,409.201416015625,133.53347778320312,350.7300109863281
231.6105194091797,232.75999450683594,184.59706115722656,717.537353515625,408.4271240234375,132.76370239257812,328.5
235.84210205078125,228.92999267578125,182.8937225341797,723.0997924804688,406.0447082519531,131.10414123535156,336.510009765625
240.4818878173828,230.3699951171875,185.41384887695312,726.2698364257812,407.5337219238281,135.25299072265625,355.94000244140625
243.53855895996094,228.67999267578125,184.5073699951172,734.3543090820312,405.43914794921875,138.81202697753906,355.8399963378906
243.40911865234375,226.64999389648438,183.05307006835938,714.1181640625,406.64031982421875,139.36187744140625,354.1099853515625
243.80738830566406,226.6300048828125,184.5472412109375,701.5578002929688,411.73272705078125,139.19192504882812,360.55999755859375
244.7632293701172,222.8800048828125,183.83999633789062,692.6558227539062,413.91107177734375,140.07168579101562,354.3999938964844
244.4844207763672,216.5800018310547,178.95912170410156,681.4013061523438,406.03326416015625,134.3932342529297,337.79998779296875
246.02769470214844,212.7100067138672,178.5507049560547,666.02978515625,401.8457336425781,130.244384765625,330.5299987792969
245.96795654296875,212.8000030517578,174.73565673828125,655.4332275390625,395.7782287597656,126.59537506103516,302.79998779296875
239.31695556640625,214.35000610351562,172.05615234375,671.5823364257812,397.5985107421875,131.24411010742188,290.79998779296875
236.27024841308594,208.74000549316406,167.84266662597656,656.1708374023438,390.4369201660156,120.11714935302734,281.95001220703125
240.79052734375,212.27999877929688,169.61569213867188,666.0995483398438,394.87310791015625,124.8858413696289,292.9800109863281
236.9970703125,205.02000427246094,166.35845947265625,652.9909057617188,386.4184265136719,114.02880859375,284.6499938964844
234.9061737060547,203.8000030517578,170.2532196044922,637.9881591796875,386.53778076171875,115.95828247070312,272.0400085449219
